vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,High
-2.84,35.0,1.18,-0.11,3.7,7.32,22.0,9399.62
-2.32,37.0,1.86,1.54,6.99,3.29,30.0,9458.54
-2.68,37.0,1.27,0.34,3.03,6.86,24.0,9406.66
-2.29,43.0,2.18,2.11,5.35,2.49,38.0,9501.15
-2.04,16.0,-0.3,0.14,18.31,11.2,0.0,9301.29
-2.93,-29.0,-0.79,-0.81,21.02,0.15,2.0,9265.58
-3.32,-29.0,-0.8,-0.81,19.47,-0.64,2.0,9265.15
-2.38,-7.0,-0.67,-0.92,24.4,2.38,4.0,9272.83
-3.03,-13.0,-0.58,-0.64,22.78,0.84,4.0,9281.91
-2.81,-19.0,-0.75,-0.68,23.89,0.33,4.0,9267.41
-3.56,-29.0,-0.75,-0.79,17.91,-3.1,4.0,9267.21
-1.94,15.0,-0.46,-0.02,17.37,9.97,5.0,9293.04
-2.42,-4.0,-0.63,-0.73,24.35,2.44,6.0,9281.31
-2.74,-25.0,-0.96,-1.0,22.19,0.63,6.0,9253.71
-2.79,-22.0,-0.86,-0.8,22.2,0.6,6.0,9263.37
-2.84,-29.0,-0.98,-1.04,21.5,0.46,6.0,9252.2
-1.84,16.0,-0.53,-0.14,16.08,6.43,7.0,9290.1
-1.79,-1.0,-0.53,-0.36,19.01,11.59,7.0,9289.94
-2.18,-6.0,-0.57,-0.72,21.72,4.63,7.0,9284.23
-2.28,-6.0,-0.66,-0.77,24.33,3.13,7.0,9275.27
-2.35,-21.0,-0.82,-0.85,24.36,0.95,7.0,9263.99
-3.01,-18.0,-0.66,-0.75,22.96,1.61,7.0,9278.22
-2.3,-23.0,-0.85,-0.9,24.66,1.26,7.0,9259.43
-2.64,-23.0,-0.85,-0.84,22.36,0.4,7.0,9264.18
-3.13,-24.0,-0.76,-0.85,21.94,0.46,7.0,9272.38
-3.18,-29.0,-0.94,-0.95,18.86,-1.62,7.0,9256.1
-1.82,0.0,-0.56,-0.39,20.15,11.83,8.0,9287.48
-1.72,-4.0,-0.55,-0.29,19.77,12.14,8.0,9288.35
-1.96,-2.0,-0.58,-0.33,19.31,12.07,8.0,9284.51
-2.35,-7.0,-0.6,-0.67,21.38,4.65,8.0,9280.45
-2.4,-22.0,-0.88,-1.04,24.5,0.99,8.0,9257.9
-2.76,-22.0,-0.78,-0.64,23.99,0.41,8.0,9272.26
-2.42,-9.0,-0.62,-0.73,21.95,4.72,9.0,9270.96
-2.57,-22.0,-0.8,-0.84,24.89,1.19,9.0,9264.49
-1.09,16.0,-0.65,-0.55,15.55,6.54,10.0,9267.32
-1.79,-16.0,-0.72,-1.1,21.19,8.91,10.0,9265.95
-2.38,-20.0,-0.89,-0.9,24.81,1.19,10.0,9254.21
-1.75,1.0,-0.68,-0.43,19.21,12.25,11.0,9274.59
-1.58,-3.0,-0.71,-0.64,19.43,12.05,11.0,9269.96
-2.21,-23.0,-0.95,-1.03,24.94,1.63,11.0,9247.34
-2.33,-20.0,-1.0,-1.15,24.74,1.42,11.0,9243.01
-2.11,-10.0,-0.82,-1.07,25.02,3.76,12.0,9258.52
-2.3,-22.0,-0.88,-0.9,24.66,1.55,12.0,9254.13
-1.6,-7.0,-0.77,-0.83,19.43,11.52,13.0,9263.27
-2.3,-13.0,-0.77,-1.03,22.26,4.84,13.0,9261.01
-2.47,-21.0,-0.81,-0.91,23.26,1.9,13.0,9259.76
-2.35,-24.0,-0.96,-1.0,25.3,1.72,13.0,9245.83
-2.13,-10.0,-0.79,-0.98,22.06,5.04,14.0,9260.75
-1.99,-23.0,-1.03,-1.18,24.44,2.27,14.0,9241.13
-0.87,15.0,-0.79,-0.89,13.83,5.34,15.0,9255.92
-1.65,-20.0,-0.84,-1.3,21.2,8.52,15.0,9254.51
-1.55,-20.0,-0.92,-1.24,21.7,8.23,16.0,9245.3
-1.87,-16.0,-0.84,-1.03,21.53,5.05,16.0,9257.43
-1.89,-17.0,-0.83,-1.12,21.27,8.67,16.0,9258.59
-2.08,-12.0,-0.89,-1.13,22.11,4.61,17.0,9251.64
-1.45,-19.0,-0.87,-1.02,21.3,7.27,17.0,9247.13
-2.16,-18.0,-0.93,-1.15,22.3,4.79,17.0,9245.89
-2.11,-23.0,-1.01,-1.13,24.12,2.36,17.0,9244.15
-1.48,-18.0,-0.94,-1.13,21.24,7.46,18.0,9243.47
-1.75,-16.0,-1.03,-1.57,25.33,5.42,18.0,9245.04
-1.31,-16.0,-0.92,-0.94,19.99,10.8,19.0,9241.81
-1.87,-13.0,-0.98,-1.4,25.27,5.71,19.0,9242.85
-1.38,-19.0,-0.96,-1.29,20.99,7.44,20.0,9237.79
-1.41,-19.0,-0.94,-1.2,21.06,6.86,20.0,9240.06
-1.02,-20.0,-1.07,-1.45,20.57,6.94,23.0,9226.9
26.83,-38.0,-4.87,-7.2,15.58,36.86,-15.0,9307.81
27.6,-38.0,-5.23,-7.73,16.98,40.82,-10.0,9265.53
27.01,-40.0,-4.97,-7.31,13.36,35.19,-30.0,9309.45
27.13,-40.0,-5.06,-7.41,16.66,40.69,-36.0,9300.24
26.27,-40.0,-4.85,-7.28,14.57,35.47,-20.0,9318.63
27.6,-40.0,-5.1,-7.46,15.63,37.69,-10.0,9278.02
26.92,-40.0,-4.93,-7.3,13.93,35.33,0.0,9284.56
26.27,-40.0,-4.74,-7.18,14.87,35.7,-29.0,9331.88
26.48,-40.0,-4.84,-7.17,14.17,35.24,-10.0,9303.32
26.65,-40.0,-4.86,-7.23,14.97,35.88,-20.0,9317.58
26.77,-40.0,-4.79,-7.31,14.94,36.16,-34.0,9326.69
26.07,-40.0,-4.7,-7.0,14.44,35.18,-33.0,9336.16
28.18,-40.0,-5.47,-8.23,17.64,45.73,-50.0,9260.43
26.98,-40.0,-5.03,-7.4,16.95,40.93,-15.0,9292.34
26.95,-40.0,-5.01,-7.48,16.79,40.69,-20.0,9302.79
27.95,-40.0,-5.41,-7.97,17.4,42.83,-11.0,9247.48
28.27,-40.0,-5.52,-8.13,17.25,44.58,6.0,9229.97
27.24,-40.0,-5.22,-7.63,17.31,42.53,-48.0,9285.09
27.77,-40.0,-5.4,-8.09,18.06,45.7,-38.0,9267.4
26.83,-40.0,-5.04,-7.53,16.76,41.29,-20.0,9300.3
27.45,-40.0,-5.34,-7.81,17.15,42.18,-16.0,9262.43
26.48,-40.0,-4.91,-7.28,16.84,41.44,-30.0,9315.23
28.36,-40.0,-5.53,-8.32,17.64,45.73,-62.0,9254.7
27.07,-40.0,-4.95,-7.34,16.95,41.13,-35.0,9311.1
28.27,-40.0,-5.55,-8.31,18.5,45.91,-57.0,9252.36
28.54,-40.0,-5.63,-8.36,18.32,45.73,-57.0,9244.48
24.51,-42.0,-4.4,-6.49,6.72,10.24,-82.0,9368.61
20.45,-42.0,-4.01,-5.87,4.63,5.11,-84.0,9392.45
23.01,-42.0,-4.25,-6.53,5.36,7.97,-80.0,9383.27
23.68,-42.0,-4.2,-6.37,7.33,12.83,-93.0,9387.48
25.39,-42.0,-4.48,-6.89,7.62,14.03,-94.0,9359.72
20.45,-42.0,-4.01,-5.87,4.63,5.11,-84.0,9392.45
28.27,-42.0,-5.11,-7.48,11.57,31.65,-26.0,9296.25
26.95,-42.0,-4.48,-7.03,11.8,28.38,-103.0,9361.07
26.89,-42.0,-4.76,-7.26,10.95,28.56,-39.0,9330.13
27.07,-42.0,-4.8,-7.31,11.03,28.69,-44.0,9326.1
26.92,-42.0,-4.87,-7.15,12.18,31.64,-35.0,9319.22
28.39,-42.0,-5.71,-8.56,18.07,46.05,6.0,9211.09
28.18,-42.0,-5.52,-8.29,15.7,42.84,-144.0,9255.25
28.33,-42.0,-5.59,-8.34,16.16,43.87,-134.0,9248.97
27.42,-39.0,-5.12,-7.65,16.34,39.26,-21.0,9294.71
27.57,-39.0,-5.03,-7.36,15.42,36.94,0.0,9275.32
27.18,-39.0,-5.11,-7.58,16.59,39.93,-5.0,9264.44
27.04,-39.0,-4.85,-7.32,15.12,36.27,-5.0,9289.42
26.86,-39.0,-4.86,-7.17,17.0,40.17,-70.0,9320.32
27.04,-39.0,-5.01,-7.29,17.0,40.41,-51.0,9305.62
27.51,-41.0,-5.0,-7.41,12.59,33.92,-30.0,9306.27
27.18,-41.0,-5.0,-7.38,12.99,34.22,-20.0,9303.69
28.36,-41.0,-5.81,-8.66,18.43,45.25,-23.0,9227.49
27.66,-41.0,-5.37,-8.15,15.67,41.81,-106.0,9270.39
28.68,-41.0,-5.84,-8.84,18.07,45.01,-41.0,9224.1
28.8,-41.0,-5.55,-8.43,17.69,45.92,-51.0,9252.85
20.33,-43.0,-3.96,-5.78,4.12,3.55,-88.0,9384.82
28.16,-43.0,-4.91,-7.68,9.04,24.24,-86.0,9318.9
26.98,-43.0,-4.7,-7.27,9.56,26.56,-93.0,9339.73
27.42,-43.0,-4.77,-7.43,9.59,25.67,-99.0,9332.7
19.27,-43.0,-4.14,-5.84,2.13,1.41,-56.0,9365.21
27.57,-43.0,-4.89,-7.48,10.16,27.44,-50.0,9320.79
27.98,-43.0,-4.83,-7.39,7.8,21.84,-106.0,9326.87
26.54,-43.0,-4.68,-7.26,7.86,19.32,-118.0,9341.88
-4.47,22.0,1.02,0.98,8.11,15.5,2.0,9431.26
-3.82,13.0,0.73,0.85,6.51,14.69,2.0,9406.9
-0.37,-13.0,-0.32,-0.99,6.0,18.81,2.0,9305.04
-2.31,1.0,0.14,-0.3,6.34,16.83,-2.0,9348.87
-2.08,1.0,-0.06,-0.5,6.11,17.71,-2.0,9333.76
-1.01,-13.0,-0.38,-1.05,5.89,18.04,3.0,9294.53
-1.05,-9.0,-0.39,-0.99,6.2,17.55,3.0,9293.53
-3.3,12.0,0.56,0.32,7.27,16.9,-3.0,9387.64
-2.98,5.0,0.33,0.1,5.97,16.3,-3.0,9367.92
-0.46,-13.0,-0.39,-1.06,5.96,19.26,4.0,9296.46
-3.94,20.0,0.95,0.88,7.84,14.56,-4.0,9427.57
-0.62,-12.0,-0.48,-1.41,6.32,17.84,5.0,9296.46
0.32,-19.0,-0.82,-2.06,6.09,16.27,5.0,9273.32
-3.8,25.0,0.92,0.95,7.81,13.92,-5.0,9422.91
-3.55,15.0,0.97,1.09,7.48,14.51,6.0,9432.41
-2.89,8.0,0.77,0.7,6.58,16.12,6.0,9412.2
-3.66,11.0,0.64,0.48,7.66,15.45,-6.0,9394.77
-3.16,9.0,0.83,0.93,6.56,16.63,7.0,9418.29
-3.57,11.0,0.59,0.42,7.94,15.86,-7.0,9391.48
-3.23,9.0,0.86,0.91,6.48,16.78,8.0,9420.6
-0.23,-15.0,-0.8,-1.95,6.2,17.47,8.0,9279.12
-3.82,21.0,0.9,0.89,7.75,14.6,-8.0,9425.61
-4.74,22.0,1.07,1.11,8.0,15.27,-8.0,9453.73
-3.69,11.0,1.03,1.38,6.59,16.57,9.0,9437.28
-3.32,11.0,0.99,1.08,6.88,15.8,10.0,9430.22
-3.53,14.0,0.98,1.31,6.46,16.61,12.0,9431.62
-3.27,13.0,0.99,1.06,7.11,14.88,13.0,9431.84
0.3,-25.0,-0.93,-2.15,6.34,15.56,-14.0,9282.02
-4.19,18.0,1.1,1.48,6.23,14.54,15.0,9444.49
-4.14,30.0,0.96,0.98,7.79,14.69,-17.0,9443.75
-4.08,17.0,0.89,0.81,8.2,15.41,1.0,9421.28
-3.89,18.0,0.85,0.7,7.77,16.25,1.0,9417.96
-3.78,15.0,0.73,0.55,8.09,16.01,-1.0,9406.5
-3.89,15.0,0.81,0.66,8.11,15.62,-1.0,9413.69
-2.66,6.0,0.41,0.09,7.21,17.41,-1.0,9375.26
-3.55,13.0,0.62,0.47,7.24,16.77,-1.0,9394.49
-3.89,18.0,0.8,0.68,7.17,16.51,-1.0,9412.93
-2.02,-1.0,0.26,-0.19,7.33,18.01,-1.0,9361.96
0.07,-24.0,-1.03,-2.36,6.22,16.18,-1.0,9251.14
-3.22,18.0,0.5,0.0,6.07,3.03,-26.0,9509.94
